Datum,Tijd,Thuis/Uit,Tegenstander,Locatie
08-09-2025,19:00,Thuis,TC De Korrel 2,Oisterwijk
15-09-2025,19:00,Uit,LTV Goirle 1,Goirle
22-09-2025,19:00,Thuis,TC Westerhoven 1,Oisterwijk
29-09-2025,19:00,Uit,LTV Goirle 2,Goirle
06-10-2025,19:00,Thuis,TC Schijndel 4,Oisterwijk
13-10-2025,19:00,Uit,LTV de Reit 2,Tilburg
20-10-2025,19:00,Thuis,TC Schijndel 4,Oisterwijk
27-10-2025,19:00,Uit,TC De Korrel 2,Oisterwijk
03-11-2025,19:00,Thuis,LTV Goirle 1,Oisterwijk
10-11-2025,19:00,Uit,TC Westerhoven 1,Westerhoven
17-11-2025,19:00,Thuis,LTV Goirle 2,Oisterwijk
24-11-2025,19:00,Uit,TC Schijndel 4,Schijndel
01-12-2025,19:00,Thuis,LTV de Reit 2,Oisterwijk
